coral_number,site,habitat,transect,taxa,x,y,z,year,length,width,height,observer,note,note_extra,fusion_group,fission_group,growth_ratio,dynamics
5016,LTER4,BR,T03,Por,1.04,46,5,2014,4.8,4.5,2,EW,Fi1,NA,NA,1,0.2511111111111111,"fission,shrinkage"
5064,LTER4,BR,T03,Por,1.53,50,12,2015,3,2,1,HSL,Fi3,NA,NA,3,0.2608695652173913,"fission,shrinkage"
5223,LTER4,BR,T04,Por,1.75,42,0,2015,4.5999999999999996,3,3.7,CA,Fi1,NA,NA,1,0.7197452229299364,"fission,shrinkage"
5273,LTER4,BR,T04,Por,2.45,88,30,2015,31,25,29,CA,Fi2,NA,NA,2,0.7589285714285714,"fission,shrinkage"
5307,LTER4,BR,T04,Por,5,30,40,2016,32,52,51,DC,Fi3,NA,NA,3,0.823170731707317,"fission,shrinkage"
5333,LTER4,OR,T01,Mil,0.26,15,10,2016,4.7,2.2000000000000002,6.2,MK,Fi1,NA,NA,1,0.861842105263158,"fission,shrinkage"
5338,LTER4,OR,T01,Mil,0.34,30,11,2014,5.8,2.8,5.6,MK,Fi1,NA,NA,1,0.6173913043478261,"fission,shrinkage"
5352,LTER4,OR,T01,Mil,0.44,9,20,2014,4.2,2,2.1,MK,Fi2,NA,NA,2,0.4368421052631579,"fission,shrinkage"
5883,LTER4,OR,T04,Mil,4.89,38,4,2015,1.4,1.1000000000000001,0.4,HSL,Fi1,NA,NA,1,0.15591397849462363,"fission,shrinkage"
5943,LTER5,BR,P01,Poc,8.78,50,33,2020,26,12,17,EW,UK,Fi2,NA,2,0.45081967213114754,"fission,shrinkage"
5959,LTER5,BR,P10,Acr,3,100,40,2021,40,27.5,14.5,HSL,Fi,NA,NA,NA,0.5222929936305732,"fission,shrinkage"
5979,LTER5,BR,P10,Por,6.55,100,40,2022,56.5,34.4,63.4,MK,FI1,NA,NA,1,0.6079590228526399,"fission,shrinkage"
6157,LTER5,BR,P07,Por,9.6,80,30,2021,35,25,38,HSL,Fi,NA,NA,NA,0.6490066225165563,"fission,shrinkage"
6195,LTER5,BR,T01,Por,0.3,47,14,2014,1,0.8,0.6,MK,Fi1,NA,NA,1,0.21052631578947367,"fission,shrinkage"
6212,LTER5,BR,T01,Por,0.97,5,35,2015,5.2,4.4000000000000004,7.7,MK,Fi1,NA,NA,1,0.8781725888324874,"fission,shrinkage"
6216,LTER5,BR,T01,Por,1,12,45,2015,6.3,6,5.5,MK,Fi2,NA,NA,2,0.8436018957345971,"fission,shrinkage"
6228,LTER5,BR,T01,Por,1.12,43,15,2014,12.5,8.8000000000000007,13.7,MK,Fi4,NA,NA,4,0.9408602150537636,"fission,shrinkage"
6229,LTER5,BR,T01,Por,1.13,18,50,2014,2.7,2.2999999999999998,2.6,MK,Fi2,NA,NA,2,0.3377777777777778,"fission,shrinkage"
6238,LTER5,BR,T01,Por,1.21,7,50,2014,2.9,3,4.9000000000000004,MK,Fi3,NA,NA,3,0.5775401069518717,"fission,shrinkage"
6261,LTER5,BR,T01,Por,1.33,55,41,2014,4.7,5.0999999999999996,4.7,MK,Fi5,NA,NA,5,0.7073170731707317,"fission,shrinkage"
6274,LTER5,BR,T01,Por,1.37,79,39,2014,7.2,4.4000000000000004,7.6,MK,Fi6,NA,NA,6,0.6056782334384859,"fission,shrinkage"
6290,LTER5,BR,T01,Por,1.44,67,30,2016,3.3,1,2.2999999999999998,MK,Fi1,NA,NA,1,0.6226415094339622,"fission,shrinkage"
6314,LTER5,BR,T01,Por,1.52,73,47,2021,11.5,9.6999999999999993,9.1999999999999993,MK,Fi1,NA,NA,1,0.5735849056603773,"fission,shrinkage"
6321,LTER5,BR,T01,Por,1.55,33,67,2014,2.2000000000000002,1.3,1.8,MK,Fi7,NA,NA,7,0.35333333333333333,"fission,shrinkage"
6359,LTER5,BR,T01,Por,1.7,95,55,2014,17.100000000000001,15.5,18.5,MK,Fi10,NA,NA,10,0.9864864864864864,"fission,shrinkage"
6360,LTER5,BR,T01,Por,1.71,25,77,2015,1.4,1.4,1.1000000000000001,MK,Fi3,NA,NA,3,0.4814814814814815,"fission,shrinkage"
6365,LTER5,BR,T01,Por,1.75,24,79,2014,8.1999999999999993,3.1,1.7,MK,Fi8,NA,NA,8,0.5936073059360729,"fission,shrinkage"
6384,LTER5,BR,T01,Por,1.88,66,68,2014,3.8,4.8,8.1,MK,Fi11,NA,NA,11,0.8146341463414634,"fission,shrinkage"
6388,LTER5,BR,T01,Por,1.9,82,57,2014,14.2,8.6,11.7,MK,Fi12,NA,NA,12,0.8333333333333334,"fission,shrinkage"
6389,LTER5,BR,T01,Por,1.9,88,57,2015,6.3,4.4000000000000004,6.9,MK,Fi4,NA,NA,4,0.8110599078341014,"fission,shrinkage"
6408,LTER5,BR,T01,Por,2.05,16,98,2014,104.5,77.900000000000006,42.7,MK,Fi9,NA,NA,9,0.9744588744588746,"fission,shrinkage"
6447,LTER5,BR,T01,Por,2.75,41,61,2014,17.399999999999999,13.8,10,MK,Fi14,NA,NA,14,0.8046875,"fission,shrinkage"
6458,LTER5,BR,T01,Por,2.96,10,61,2015,6.9,7.8,15,MK,Fi5,NA,NA,5,0.7021276595744681,"fission,shrinkage"
6491,LTER5,BR,T01,Por,4,39,3,2015,10.199999999999999,5,11,MK,Fi6,NA,NA,6,0.9667896678966788,"fission,shrinkage"
6503,LTER5,BR,T01,Por,4.2,0,18,2014,8,3.3,5.3,MK,Fi15,NA,NA,15,0.4715909090909091,"fission,shrinkage"
6511,LTER5,BR,T01,Por,4.95,40,43,2016,2.2999999999999998,0.8,2,MK,Fi2,NA,NA,2,0.3617021276595744,"fission,shrinkage"
6523,LTER5,BR,T02,Por,0.29,59,18,2014,2.8,2,1.8,EW,Fi1,NA,NA,1,0.5499999999999999,"fission,shrinkage"
6536,LTER5,BR,T02,Por,0.45,40,27,2015,4,3.6,3.4,CA,Fi1,NA,NA,1,0.3343465045592705,"fission,shrinkage"
6548,LTER5,BR,T02,Por,0.52,22,24,2015,3.9,3.4,5.0999999999999996,CA,Fi2,NA,NA,2,0.5610859728506786,"fission,shrinkage"
6568,LTER5,BR,T02,Por,0.76,56,45,2015,5.2,6.6,6.4,CA,Fi3,NA,NA,3,0.8053097345132744,"fission,shrinkage"
6578,LTER5,BR,T02,Por,0.86,69,21,2014,7.7,7.2,3.2,EW,Fi2,NA,NA,2,0.565625,"fission,shrinkage"
6591,LTER5,BR,T02,Por,0.96,93,24,2015,4,6,8.6,CA,Fi4,NA,NA,4,0.4818652849740933,"fission,shrinkage"
6596,LTER5,BR,T02,Por,1,72,1,2016,5.3,8.1999999999999993,12.5,DC,Fi3,NA,NA,3,0.8176100628930817,"fission,shrinkage"
6690,LTER5,BR,T02,Por,3.76,49,28,2015,90,88,68,CA,Fi6,NA,NA,6,0.9761904761904762,"fission,shrinkage"
6845,LTER5,BR,T03,Poc,4.74,62,46,2016,7.2,9,7,HSL,Fi1,NA,NA,1,0.22095238095238096,"fission,shrinkage"
6900,LTER5,BR,T04,Por,0.42,10,11,2016,8.6999999999999993,5.3,7,HSL,Fi1,NA,NA,1,0.7499999999999999,"fission,shrinkage"
6990,LTER5,BR,T04,Por,4.9,80,60,2021,24,14,14,HSL,Fi1,NA,NA,1,0.33766233766233766,"fission,shrinkage"
7460,LTER5,OR,T03,Por,3.4,54,0,2021,8.6,7.3,3.4,MK,Fi2,NA,NA,2,0.5594202898550724,"fission,shrinkage"
7593,LTER5,OR,T04,Por,1.7,50,0,2021,23.5,21,15.2,MK,Fi1,NA,NA,1,0.7653846153846154,"fission,shrinkage"
2641,LTER2,BR,T01,Por,4.82,13,38,2015,UK,UK,UK,MK,Fu4-Ed,NA,4,NA,NA,"fusion,edge"
1134,LTER1,BR,T04,Por,2.6,70,45,2016,50,30,56.5,DC,"Fi2, Fu2",NA,2,2,NA,"fusion,fission"
3055,LTER2,BR,T04,Por,3.41,80,94,2017,27,46,18,RH,"Fu1, Fi1",NA,1,1,1.3,"fusion,fission,growth"
1058,LTER1,BR,T04,Por,1.5,72,34,2016,49.5,13.1,30,DC,"Fi1, Fu1",NA,1,1,0.990374331550802,"fusion,fission,shrinkage"
2673,LTER2,BR,T02,Por,0.05,90,87,2016,15.3,15.2,24.2,DC,"Fu1, Fi2",NA,1,2,0.8415384615384616,"fusion,fission,shrinkage"
308,LTER1,BR,P03,Poc,2.84,57,42,2015,23,24.9,21.2,CA,Fu1,NA,1,NA,8.129411764705882,"fusion,growth"
334,LTER1,BR,P03,Poc,3.32,33,82,2014,36.299999999999997,25.9,21.9,EW,Fu1,NA,1,NA,1.911363636363636,"fusion,growth"
497,LTER1,BR,T01,Por,0.74,71,29,2015,3.9,1.2,3.7,MK,Fu1,NA,1,NA,3.5200000000000005,"fusion,growth"
505,LTER1,BR,T01,Por,0.8,76,37,2019,14,16,7,EW,UK,Fu1,1,NA,1.5481171548117156,"fusion,growth"
658,LTER1,BR,T01,Por,3.68,50,34,2016,12,5.4,10.7,MK,Fu1,NA,1,NA,1.4712041884816751,"fusion,growth"
658,LTER1,BR,T01,Por,3.68,50,34,2017,14,11,5.5,EW,Fu1,NA,1,NA,1.085409252669039,"fusion,growth"
697,LTER1,BR,T01,Por,4.68,35,75,2014,12.4,8.3000000000000007,12.2,MK,Fu1,NA,1,NA,1.1003344481605353,"fusion,growth"
725,LTER1,BR,T02,Por,0.98,63,10,2018,29,17,8,HSL,NA,Fu1,1,NA,1.588235294117647,"fusion,growth"
904,LTER1,BR,T03,Por,2.53,28,0,2017,30,19,12,RH,Fu1,NA,1,NA,1.337719298245614,"fusion,growth"
947,LTER1,BR,T03,Por,3.25,5,0,2020,21.5,16,16.5,HSL,UK,Fu1,1,NA,1.2765957446808511,"fusion,growth"
974,LTER1,BR,T03,Por,3.95,85,50,2019,22.1,19,7.7,HSL,UK,Fu1,1,NA,2.609625668449198,"fusion,growth"
1057,LTER1,BR,T04,Por,1.4,49,40,2019,38,27.2,18.7,HSL,UK,Fu1,1,NA,32.269230769230774,"fusion,growth"
1058,LTER1,BR,T04,Por,1.5,72,34,2015,38.1,30.6,24.8,CA,Fu1,NA,1,NA,3.045602605863192,"fusion,growth"
1059,LTER1,BR,T04,Por,1.52,61,37,2018,23.9,9,13.5,EW,NA,Fu1,1,NA,1.2210526315789474,"fusion,growth"
1090,LTER1,BR,T04,Por,2.2,72,18,2018,12.4,7.4,4.5999999999999996,EW,NA,Fu2,2,NA,1.167464114832536,"fusion,growth"
1101,LTER1,BR,T04,Por,2.3,46,26.7,2015,46.1,15,23.1,CA,Fu2,NA,2,NA,5.197530864197531,"fusion,growth"
1124,LTER1,BR,T04,Por,2.5,63,73,2018,12.2,6.7,2.7,EW,NA,Fu3,3,NA,3.0857142857142854,"fusion,growth"
1126,LTER1,BR,T04,Por,2.5,72,53,2019,48.5,44,31,HSL,UK,Fu2,2,NA,6.639784946236559,"fusion,growth"
1190,LTER1,BR,T04,Por,3.45,100,5,2022,21.5,4.3,9.9,HL,Fused with coral outside transect,NA,NA,NA,1.2841726618705036,"fusion,growth"
1229,LTER1,BR,T04,Por,4.9,13,60,2019,16,7,7,HSL,UK,Fu3,3,NA,1.9230769230769231,"fusion,growth"
1254,LTER1,OR,T01,Por,0.05,69,3,2014,8.3000000000000007,5.3,7.6,MK,Fu1,NA,1,NA,1.7815126050420174,"fusion,growth"
1270,LTER1,OR,T01,Por,0.11,24,7,2014,9.3000000000000007,6,6.8,MK,Fu2,NA,2,NA,1.407643312101911,"fusion,growth"
1288,LTER1,OR,T01,Por,0.18,60,5,2014,7.8,6.3,5,MK,Fu3,NA,3,NA,1.2905405405405406,"fusion,growth"
1419,LTER1,OR,T01,Poc,0.81,18,9,2016,17.2,14.7,13.4,MK,Fu1,NA,1,NA,1.1468354430379746,"fusion,growth"
1448,LTER1,OR,T01,Poc,0.97,56,11,2015,10.8,8.6,7.1,MK,Fu1,NA,1,NA,1.9202898550724636,"fusion,growth"
1489,LTER1,OR,T02,Poc,0.05,77,0,2014,13.7,13.4,6.4,EW,Fu1,NA,1,NA,2.310344827586207,"fusion,growth"
1526,LTER1,OR,T02,Poc,0.35,9,34,2014,19.7,7.9,5.5,EW,Fu1,NA,1,NA,2.135483870967742,"fusion,growth"
1565,LTER1,OR,T02,Poc,0.65,6,7,2016,19.600000000000001,16.600000000000001,14.2,DC,Fu2,NA,2,NA,1.5412844036697249,"fusion,growth"
1588,LTER1,OR,T02,Por,0.84,46,17,2014,11.5,10.6,6,EW,Fu1,NA,1,NA,3.64935064935065,"fusion,growth"
1685,LTER1,OR,T03,Por,0.45,90,0,2016,19,10.1,8.6999999999999993,HSL,Fu1,NA,1,NA,3.3451327433628313,"fusion,growth"
1708,LTER1,OR,T03,Por,0.7,46,7,2016,18.5,17,7,HSL,Fu2,NA,2,NA,1.673228346456693,"fusion,growth"
1828,LTER1,OR,T04,Poc,0.4,5,9,2016,25,17,15.2,HSL,Fu1,NA,1,NA,1.4335839598997495,"fusion,growth"
1831,LTER1,OR,T04,Poc,0.43,67,5,2016,12.5,13.6,9.1999999999999993,DC,Fu2,NA,2,NA,2.30718954248366,"fusion,growth"
1838,LTER1,OR,T04,Por,0.47,64,4,2015,12.3,9.1999999999999993,8.1999999999999993,MK,Fu1,NA,1,NA,1.414285714285714,"fusion,growth"
1856,LTER1,OR,T04,Por,0.55,62,5,2016,17.2,17.100000000000001,9.3000000000000007,DC,Fu3,NA,3,NA,4.2745098039215685,"fusion,growth"
2033,LTER2,BR,P10,Por,2.7,71,40,2021,30,25.5,58,HSL,Fu1,NA,1,NA,1.5073041168658696,"fusion,growth"
2035,LTER2,BR,P10,Por,5.6,85,73,2021,40,61.8,51.5,HSL,Fu1,NA,1,NA,6.107569721115538,"fusion,growth"
2047,LTER2,BR,P02,Por,0.95,90,100,2019,46,31,20,EW,UK,Fu1,1,NA,1.6166666666666667,"fusion,growth"
2093,LTER2,BR,P02,Poc,8.25,50,60,2015,18,17.2,17.100000000000001,CA,Fu1,NA,1,NA,2.5388349514563107,"fusion,growth"
2112,LTER2,BR,P03,Poc,3.6,50,50,2015,17.100000000000001,17.899999999999999,18.600000000000001,CA,Fu2,NA,2,NA,1.0698602794411178,"fusion,growth"
2215,LTER2,BR,P07,Por,1.4,100,130,2021,100.5,71,69.5,HSL,Fu2,NA,2,NA,1.2159434914228051,"fusion,growth"
2219,LTER2,BR,P07,Por,6.1,65,45,2021,77,62,70,HSL,Fu2,NA,2,NA,2.4161849710982657,"fusion,growth"
2228,LTER2,BR,P08,Por,1.6,20,0,2021,69.900000000000006,51,52,HSL,Fu2,NA,2,NA,1.916851441241685,"fusion,growth"
2229,LTER2,BR,P08,Por,3.1,50,70,2021,49.5,33,37.5,HSL,Fu2,NA,2,NA,1.5523932729624836,"fusion,growth"
2234,LTER2,BR,P08,Por,3.65,40,22,2021,25,25,28,HSL,Fu4,NA,4,NA,5.306122448979592,"fusion,growth"
2244,LTER2,BR,P08,Por,9.8,70,0,2021,34,18.5,33.5,HSL,Fu4,NA,4,NA,1.325115562403698,"fusion,growth"
2333,LTER2,BR,T01,Por,0.81,61,41,2015,3.5,1.8,2.9,MK,Fu1,NA,1,NA,2.733333333333333,"fusion,growth"
2377,LTER2,BR,T01,Por,2.52,47,29,2020,15,12,8,UK,UK,Fu1,1,NA,3.6842105263157894,"fusion,growth"
2384,LTER2,BR,T01,Por,2.65,31,31,2020,13,8,6,UK,UK,Fu2,2,NA,1.255813953488372,"fusion,growth"
2388,LTER2,BR,T01,Por,2.68,21,74,2016,3.9,2.6,2,MK,Fu3,NA,3,NA,1.7,"fusion,growth"
2388,LTER2,BR,T01,Por,2.68,21,74,2017,14,13,16.5,UK,Fu1,NA,1,NA,5.117647058823529,"fusion,growth"
2427,LTER2,BR,T01,Por,2.82,17,84,2016,21.5,10.3,9.8000000000000007,MK,Fu2,NA,2,NA,2.08,"fusion,growth"
2463,LTER2,BR,T01,Por,3,64,113,2016,16.600000000000001,4.0999999999999996,7,MK,Fu5,NA,5,NA,1.306603773584906,"fusion,growth"
2472,LTER2,BR,T01,Por,3.03,39,131,2016,8.8000000000000007,3.7,9.5,MK,Fu4,NA,4,NA,1.25,"fusion,growth"
2474,LTER2,BR,T01,Por,3.05,44,131,2017,11,8.5,5,UK,Fu2,NA,2,NA,3.769230769230769,"fusion,growth"
2477,LTER2,BR,T01,Por,3.06,15,107,2014,4.2,3.3,3.1,MK,Fu1,NA,1,NA,2.3043478260869565,"fusion,growth"
2481,LTER2,BR,T01,Por,3.1,26,124,2020,20,9,16,UK,UK,Fu3,3,NA,1.8,"fusion,growth"
2500,LTER2,BR,T01,Por,3.2,25,137,2015,12.3,4.8,6.9,MK,Fu2,NA,2,NA,3.243243243243243,"fusion,growth"
2502,LTER2,BR,T01,Por,3.22,1,111,2016,5.3,1.1000000000000001,5.3,MK,Fu6,NA,6,NA,1.4444444444444442,"fusion,growth"
2502,LTER2,BR,T01,Por,3.22,1,111,2017,13,13.5,5,UK,Fu3,NA,3,NA,2.6923076923076925,"fusion,growth"
2506,LTER2,BR,T01,Por,3.25,95,113,2017,19,16.5,9,UK,Fu4,NA,4,NA,2.557471264367816,"fusion,growth"
2558,LTER2,BR,T01,Por,3.91,29,77,2017,20.3,12.5,5.9,UK,Fu5,NA,5,NA,2.614864864864865,"fusion,growth"
2561,LTER2,BR,T01,Por,4.03,77,107,2015,13,10.3,14,MK,Fu3,NA,3,NA,1.963157894736842,"fusion,growth"
2617,LTER2,BR,T01,Por,4.56,65,128,2016,17.2,10.3,15.4,MK,Fu7,NA,7,NA,1.43,"fusion,growth"
2617,LTER2,BR,T01,Por,4.56,65,128,2017,19,15,12.5,UK,Fu6,NA,6,NA,1.083916083916084,"fusion,growth"
2632,LTER2,BR,T01,Por,4.75,20,85,2016,104.6,29.4,103,MK,Fu8,NA,8,NA,1.0115236875800255,"fusion,growth"
2632,LTER2,BR,T01,Por,4.75,20,85,2017,110,33,98,UK,Fu7,NA,7,NA,1.0168776371308017,"fusion,growth"
2650,LTER2,BR,T01,Por,4.9,58,125,2020,16,10,13,UK,UK,Fu6,6,NA,1.8571428571428572,"fusion,growth"
2656,LTER2,BR,T01,Por,4.94,52,124,2014,20.3,8.3000000000000007,13,MK,Fu1,NA,1,NA,4.202020202020202,"fusion,growth"
2674,LTER2,BR,T02,Por,0.07,96,82,2015,45,35,15,HSL,Fu1,NA,1,NA,8.715596330275229,"fusion,growth"
2678,LTER2,BR,T02,Por,0.11,42,86,2018,8.5,4.5,8.8000000000000007,EW,UK,Fu1,1,NA,1.579710144927536,"fusion,growth"
2687,LTER2,BR,T02,Por,0.21,57,30,2020,11,11,28,UK,UK,Fu1,1,NA,1.1682242990654206,"fusion,growth"
2691,LTER2,BR,T02,Por,0.22,99,112,2019,21,21,15,EW,UK,Fu1,1,NA,3.8,"fusion,growth"
2693,LTER2,BR,T02,Por,0.23,91,35,2015,24,22,7,HSL,Fu3,NA,3,NA,5.3,"fusion,growth"
2702,LTER2,BR,T02,Por,0.25,92,60,2015,28,19,14,HSL,Fu2,NA,2,NA,6.039603960396039,"fusion,growth"
2729,LTER2,BR,T02,Por,3,64,48,2015,4.5,4.4000000000000004,3.2,HSL,Fu4,NA,4,NA,1.0168067226890758,"fusion,growth"
2744,LTER2,BR,T02,Por,3.89,63,58,2018,20.100000000000001,9,4.8,EW,UK,Fu2,2,NA,1.303846153846154,"fusion,growth"
2790,LTER2,BR,T03,Por,0,42,42,2018,37.1,16.100000000000001,11,HSL,UK,Fu1,1,NA,3.0571428571428574,"fusion,growth"
2790,LTER2,BR,T03,Por,0,42,42,2019,41.4,17.2,13.5,UK,UK,Fu1,1,NA,1.1230529595015577,"fusion,growth"
2790,LTER2,BR,T03,Por,0,42,42,2021,33.5,22.6,26.3,HSL,Fu2,NA,2,NA,1.136551724137931,"fusion,growth"
2794,LTER2,BR,T03,Por,0.13,35,25,2014,21.1,8.4,13.2,EW,Fu1,NA,1,NA,1.0675,"fusion,growth"
2794,LTER2,BR,T03,Por,0.13,35,25,2017,21.5,11,12,RH,Fu1,NA,1,NA,1.304985337243402,"fusion,growth"
2809,LTER2,BR,T03,Por,0.26,90,19,2019,12.5,10,10,HSL,UK,Fu2,2,NA,1.555023923444976,"fusion,growth"
2843,LTER2,BR,T03,Por,0.78,58,50,2018,18.3,19,7.8,HSL,UK,Fu2,2,NA,2.3128205128205126,"fusion,growth"
2843,LTER2,BR,T03,Por,0.78,58,50,2020,16.8,8,4,UK,UK,Fu1,1,NA,1.0285714285714287,"fusion,growth"
2855,LTER2,BR,T03,Poc,1.15,16,41,2020,20.7,22.7,18,UK,UK,Fu2,2,NA,1.4212962962962965,"fusion,growth"
2869,LTER2,BR,T03,Por,1.55,75,100,2019,19,9,3,HSL,UK,Fu3,3,NA,2,"fusion,growth"
2915,LTER2,BR,T03,Por,3.75,65,23,2021,22.5,20,23.5,HSL,Fu3,NA,3,NA,1.3333333333333333,"fusion,growth"
2936,LTER2,BR,T03,Poc,4.8,9,10,2019,6,2.7,2.2000000000000002,HSL,UK,Fu4,4,NA,1.6268656716417909,"fusion,growth"
2937,LTER2,BR,T03,Por,4.8,23,32,2021,55,19,22.5,HSL,Fu4,NA,4,NA,4.488372093023256,"fusion,growth"
2938,LTER2,BR,T03,Por,4.82,18,20,2016,16,13,13,HSL,Fu1,NA,1,NA,1.4383561643835616,"fusion,growth"
2940,LTER2,BR,T03,Por,4.85,21,35,2018,16,13.5,10,HSL,UK,Fu3,3,NA,2.6333333333333333,"fusion,growth"
2971,LTER2,BR,T04,Por,0.38,90,60,2022,28.5,13.5,29.2,HL,FU2,NA,2,NA,5.085714285714286,"fusion,growth"
2976,LTER2,BR,T04,Por,0.45,76,69,2021,25,20,15,HSL,Fu5,NA,5,NA,1.2,"fusion,growth"
3049,LTER2,BR,T04,Por,3.27,74,84,2019,23,15,24,HSL,UK,Fu1,1,NA,1.0163934426229508,"fusion,growth"
3055,LTER2,BR,T04,Por,3.41,80,94,2016,26,32,12,HSL,Fu1,NA,1,NA,2.083333333333333,"fusion,growth"
3070,LTER2,BR,T04,Por,4.14,28,20,2019,19.3,6.3,5.2,HSL,UK,Fu2,2,NA,2.588235294117647,"fusion,growth"
3073,LTER2,BR,T04,Por,4.15,15,25,2021,28,13,23,HSL,Fu6,NA,6,NA,1.8285714285714283,"fusion,growth"
3089,LTER2,BR,T04,Poc,4.47,11,66,2017,6.5,5,4,RH,Fu2,NA,2,NA,2.2142857142857144,"fusion,growth"
3095,LTER2,BR,T04,Por,4.5,82,35,2021,25,14.5,21,HSL,Fu6,NA,6,NA,1.423529411764706,"fusion,growth"
3100,LTER2,BR,T04,Por,4.62,31,60,2016,7,5.5,3.5,HSL,Fu2,NA,2,NA,1.8823529411764703,"fusion,growth"
3112,LTER2,BR,T04,Por,4.79,28,54,2015,12.7,9.9,17.100000000000001,CA,Fu1,NA,1,NA,2.7957746478873244,"fusion,growth"
3134,LTER2,OR,T01,Poc,0.06,13,16,2015,23.1,14.2,18.600000000000001,CA,Fu1,NA,1,NA,4.544715447154471,"fusion,growth"
3191,LTER2,OR,T01,Mil,0.55,22,16,2015,63.5,37.1,37.6,CA,Fu3,NA,3,NA,1.6711003627569527,"fusion,growth"
3202,LTER2,OR,T01,Por,0.65,100,0,2020,19.5,15.5,11,UK,UK,Fu1,1,NA,1.6370106761565837,"fusion,growth"
3225,LTER2,OR,T01,Poc,0.9,34,16,2015,20,15.4,16.600000000000001,CA,Fu2,NA,2,NA,1.8705035971223023,"fusion,growth"
3356,LTER2,OR,T02,Acr,3.28,18,12,2016,17.5,9.9,9.5,HSL,Fu1,NA,1,NA,1.6184210526315788,"fusion,growth"
3375,LTER2,OR,T03,Poc,0.02,64,9,2016,8.8000000000000007,14.1,9,DC,Fu1,NA,1,NA,1.1038062283737025,"fusion,growth"
3391,LTER2,OR,T03,Poc,0.13,61,10,2015,13.4,10.5,5.9,HSL,Fu1,NA,1,NA,1.874213836477987,"fusion,growth"
3399,LTER2,OR,T03,Poc,0.18,48,10,2015,12.3,13.4,8.9,HSL,Fu2,NA,2,NA,1.4913793103448274,"fusion,growth"
3433,LTER2,OR,T03,Poc,0.52,96,14,2015,13.8,12.4,4.5,HSL,Fu3,NA,3,NA,2.033112582781457,"fusion,growth"
3440,LTER2,OR,T03,Poc,0.59,36,10,2016,9.8000000000000007,19.600000000000001,15,DC,Fu2,NA,2,NA,1.0447058823529414,"fusion,growth"
3447,LTER2,OR,T03,Poc,0.65,8,13,2020,39,35,11,HSL,UK,Fu2,2,NA,2.109181141439206,"fusion,growth"
3455,LTER2,OR,T03,Poc,0.7,44,11,2015,18.3,10.1,9.1,HSL,Fu4,NA,4,NA,1.8939393939393936,"fusion,growth"
3776,LTER4,BR,P01,Poc,1.27,22,34,2015,8.1999999999999993,4.5,2.2000000000000002,HSL,Fu1,NA,1,NA,2.403225806451613,"fusion,growth"
3851,LTER4,BR,P01,Poc,5.46,96,67,2016,10.7,7,4,HSL,Fu1,NA,1,NA,1.8083333333333331,"fusion,growth"
3901,LTER4,BR,P01,Poc,9.75,70,79,2014,5.5,1.6,1.7,EW,Fu1,NA,1,NA,1.3333333333333333,"fusion,growth"
3901,LTER4,BR,P01,Poc,9.75,70,79,2016,8.5,8.1999999999999993,2,HSL,Fu2,NA,2,NA,1.3357142857142854,"fusion,growth"
4168,LTER4,BR,P05,Acr,4.39,57,65,2014,16,12,1.2,EW,Fu1,NA,1,NA,2.5391304347826087,"fusion,growth"
4295,LTER4,BR,P07,Por,4.33,82,45,2014,94.7,75,37.5,HSL,Fu1,NA,1,NA,1.197687861271676,"fusion,growth"
4308,LTER4,BR,P07,Por,9.55,85,80,2021,118,95.5,93,HSL,Fu2,NA,2,NA,1.035472972972973,"fusion,growth"
4313,LTER4,BR,P08,Por,3.4,25,0,2021,150,100.5,93,HSL,Fu1,NA,1,NA,4.705479452054795,"fusion,growth"
4346,LTER4,BR,P09,Por,5.2,18,50,2015,59.1,18.100000000000001,40.6,CA,Fu1,NA,1,NA,1.6521739130434785,"fusion,growth"
4346,LTER4,BR,P09,Por,5.2,18,50,2021,61,39,50,HSL,Fu3,NA,3,NA,1.6853932584269662,"fusion,growth"
4363,LTER4,BR,P09,Por,6.9,0,40,2021,67,40,57,HSL,Fu3,NA,3,NA,1.772972972972973,"fusion,growth"
4372,LTER4,BR,P09,Acr,7.85,40,65,2015,16.899999999999999,12,6.6,CA,Fu2,NA,2,NA,1.232638888888889,"fusion,growth"
4374,LTER4,BR,P09,Acr,8,60,65,2016,7.8,9.5,2.2999999999999998,DC,Fu1,NA,1,NA,2.3902439024390247,"fusion,growth"
4408,LTER4,BR,T01,Por,0.1,25,58,2014,3.4,3.3,3,MK,Fu1,NA,1,NA,1.3108108108108107,"fusion,growth"
4453,LTER4,BR,T01,Por,0.59,13,63,2014,6.9,2.9,4.9000000000000004,MK,Fu2,NA,2,NA,2.1617647058823533,"fusion,growth"
4455,LTER4,BR,T01,Por,0.6,16,63,2020,8,8,5,EW,UK,Fu1,1,NA,2.763157894736842,"fusion,growth"
4460,LTER4,BR,T01,Por,0.65,61,9,2015,24,15.6,11.3,MK,Fu1,NA,1,NA,1.7551724137931035,"fusion,growth"
4460,LTER4,BR,T01,Por,0.65,61,9,2016,25,16.100000000000001,15.5,MK,Fu1,NA,1,NA,1.111984282907662,"fusion,growth"
4480,LTER4,BR,T01,Por,0.82,16,30,2019,24,13.5,7,EW,UK,Fu1,1,NA,1.155844155844156,"fusion,growth"
4498,LTER4,BR,T01,Por,1.04,94,37,2020,16,11,6,EW,UK,Fu2,2,NA,1.4798206278026906,"fusion,growth"
4503,LTER4,BR,T01,Poc,1.15,85,35,2015,7.7,3.5,3.3,MK,Fu2,NA,2,NA,1.2831858407079646,"fusion,growth"
